order_id,order_datetime,address_raw,city,pincode,customer_id,past_failures,distance_km,time_slot,delivery_status,failure_reason,clean_text,area,landmark,parsed_pincode,address_confidence,latitude,longitude,geo_base_confidence,geo_confidence,area_risk_score,is_evening_or_night,hour_sin,hour_cos,is_weekend,area_success_rate,area_cluster,distance_bucket,label_failed
ORD00001,2026-03-09 09:55:00,near metro 7th crs hsr layout blru,Bengaluru,560102.0,C1150,0,2.9,morning,delivered,,near metro 7th crs hsr layout blru,hsr layout,near metro 7th crs,,0.8,12.9116,77.6474,0.88,0.78,0.28,0,0.7071067811865476,-0.7071067811865475,0,0.72,4,very_near,0
ORD00002,2026-03-23 20:55:00,opp school 12th cross whitefield bengaluru,Bengaluru,,C0210,0,12.2,night,delivered,,opposite school 12th cross whitefield bengaluru,whitefield,opposite school 12th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,1,-0.866025403784439,0.49999999999999933,0,0.5900000000000001,3,far,0
ORD00003,2026-03-12 16:05:00,beside park 2th cross hsr layout bengaluru,Bengaluru,560102.0,C1183,1,16.3,afternoon,delivered,,beside park 2th cross hsr layout bengaluru,hsr layout,beside park 2th cross,,0.8,12.9116,77.6474,0.88,0.78,0.28,0,-0.8660254037844385,-0.5000000000000004,0,0.72,4,far,0
ORD00004,2026-03-02 20:05:00,beside park 5th cross whitefield bengaluru,Bengaluru,560066.0,C0547,2,19.7,night,failed,wrong_address,beside park 5th cross whitefield bengaluru,whitefield,beside park 5th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,1,-0.866025403784439,0.49999999999999933,0,0.5900000000000001,3,far,1
ORD00005,2026-03-18 20:15:00,near metro 4th cross bellandur bengaluru,Bengaluru,560103.0,C0066,0,8.2,night,delivered,,near metro 4th cross bellandur bengaluru,bellandur,near metro 4th cross,,0.8,12.9352,77.676,0.88,0.78,0.3,1,-0.866025403784439,0.49999999999999933,0,0.7,3,mid,0
ORD00006,2026-03-03 16:25:00,beside park 11th cross electronic city bengaluru,Bengaluru,560100.0,C0539,3,17.7,afternoon,delivered,,beside park 11th cross electronic city bengaluru,electronic city,beside park 11th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,0,-0.8660254037844385,-0.5000000000000004,0,0.63,2,far,0
ORD00007,2026-03-13 16:45:00,near temple 3th cross bellandur bengaluru,Bengaluru,560103.0,C0782,4,3.6,afternoon,failed,pincode_mismatch,near temple 3th cross bellandur bengaluru,bellandur,near temple 3th cross,,0.8,12.9352,77.676,0.88,0.78,0.3,0,-0.8660254037844385,-0.5000000000000004,0,0.7,3,near,1
ORD00008,2026-03-18 18:25:00,behind mall 11th cross jp nagar bengaluru,Bengaluru,560078.0,C0540,0,14.7,evening,failed,pincode_mismatch,behind mall 11th cross jp nagar bengaluru,jp nagar,behind mall 11th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,1,-1.0,-1.8369701987210297e-16,0,0.65,0,far,1
ORD00009,2026-03-28 18:05:00,opp school 9th cross indiranagar bengaluru,Bengaluru,560038.0,C1001,2,10.6,evening,delivered,,opposite school 9th cross indiranagar bengaluru,indiranagar,opposite school 9th cross,,0.8,12.9719,77.6412,0.88,0.78,0.2,1,-1.0,-1.8369701987210297e-16,1,0.8,4,mid,0
ORD00010,2026-03-27 09:25:00,close to lake 8th cross btm layout bengaluru,Bengaluru,,C0974,0,5.6,morning,failed,pincode_mismatch,close to lake 8th cross btm layout bengaluru,btm layout,,,0.65,12.9166,77.6101,0.88,0.78,0.32,0,0.7071067811865476,-0.7071067811865475,0,0.6799999999999999,5,near,1
